# Mean Anomaly (rad)    Radial Velocity (km/s)
# omega = 2.0 rad
6.132265    -0.040688
6.152305    -0.041962
6.172345    -0.043038
6.192385    -0.043834
6.212425    -0.044264
6.232465    -0.044243
6.252505    -0.043708
6.272545    -0.042626
6.292585    -0.041009
6.312625    -0.038916
6.332665    -0.036443
6.352705    -0.033708
6.372745    -0.030831
6.392786    -0.027920
6.412826    -0.025061
6.432866    -0.022317
6.452906    -0.019728
6.472946    -0.017314
6.492986    -0.015084
6.513026    -0.013037
6.533066    -0.011164
6.553106    -0.009455
6.573146    -0.007898
6.593186    -0.006480
6.613226    -0.005187
6.633267    -0.004009
6.653307    -0.002933
6.673347    -0.001949
6.693387    -0.001048
6.713427    -0.000222
6.733467    0.000536
6.753507    0.001234
6.773547    0.001877
6.793587    0.002470
6.813627    0.003018
6.833667    0.003525
6.853707    0.003995
6.873747    0.004431
6.893788    0.004837
6.913828    0.005214
6.933868    0.005565
6.953908    0.005892
6.973948    0.006197
6.993988    0.006483
7.014028    0.006749
7.034068    0.006999
7.054108    0.007232
7.074148    0.007451
7.094188    0.007656
7.114228    0.007849
7.134269    0.008029
7.154309    0.008199
7.174349    0.008358
7.194389    0.008508
7.214429    0.008648
7.234469    0.008780
7.254509    0.008904
7.274549    0.009021
7.294589    0.009130
7.314629    0.009233
7.334669    0.009330
7.354709    0.009420
7.374749    0.009505
7.394790    0.009585
7.414830    0.009660
7.434870    0.009730
7.454910    0.009796
7.474950    0.009857
7.494990    0.009915
7.515030    0.009968
7.535070    0.010018
7.555110    0.010065
7.575150    0.010108
7.595190    0.010148
7.615230    0.010184
7.635271    0.010218
7.655311    0.010250
7.675351    0.010278
7.695391    0.010304
7.715431    0.010328
7.735471    0.010349
7.755511    0.010368
7.775551    0.010385
7.795591    0.010400
7.815631    0.010412
7.835671    0.010423
7.855711    0.010432
7.875752    0.010439
7.895792    0.010445
7.915832    0.010449
7.935872    0.010451
7.955912    0.010452
7.975952    0.010451
7.995992    0.010448
8.016032    0.010445
8.036072    0.010440
8.056112    0.010433
8.076152    0.010426
8.096192    0.010417
8.116232    0.010407
8.136273    0.010395
8.156313    0.010383
8.176353    0.010369
8.196393    0.010355
8.216433    0.010339
8.236473    0.010322
8.256513    0.010305
8.276553    0.010286
8.296593    0.010266
8.316633    0.010246
8.336673    0.010224
8.356713    0.010202
8.376754    0.010178
8.396794    0.010154
8.416834    0.010129
8.436874    0.010103
8.456914    0.010077
8.476954    0.010049
8.496994    0.010021
8.517034    0.009992
8.537074    0.009962
8.557114    0.009932
8.577154    0.009900
8.597194    0.009868
8.617234    0.009835
8.637275    0.009802
8.657315    0.009768
8.677355    0.009733
8.697395    0.009697
8.717435    0.009661
8.737475    0.009624
8.757515    0.009586
8.777555    0.009548
8.797595    0.009509
8.817635    0.009470
8.837675    0.009429
8.857715    0.009388
8.877756    0.009347
8.897796    0.009305
8.917836    0.009262
8.937876    0.009218
8.957916    0.009174
8.977956    0.009130
8.997996    0.009084
9.018036    0.009038
9.038076    0.008992
9.058116    0.008944
9.078156    0.008896
9.098196    0.008848
9.118236    0.008799
9.138277    0.008749
9.158317    0.008699
9.178357    0.008648
9.198397    0.008596
9.218437    0.008544
9.238477    0.008491
9.258517    0.008437
9.278557    0.008383
9.298597    0.008328
9.318637    0.008273
9.338677    0.008217
9.358717    0.008160
9.378758    0.008102
9.398798    0.008044
9.418838    0.007985
9.438878    0.007926
9.458918    0.007866
9.478958    0.007805
9.498998    0.007743
9.519038    0.007681
9.539078    0.007618
9.559118    0.007555
9.579158    0.007490
9.599198    0.007425
9.619238    0.007359
9.639279    0.007293
9.659319    0.007226
9.679359    0.007158
9.699399    0.007089
9.719439    0.007019
9.739479    0.006949
9.759519    0.006878
9.779559    0.006806
9.799599    0.006733
9.819639    0.006659
9.839679    0.006585
9.859719    0.006510
9.879760    0.006433
9.899800    0.006356
9.919840    0.006278
9.939880    0.006200
9.959920    0.006120
9.979960    0.006039
10.000000    0.005957
