# Mean Anomaly (rad)    Radial Velocity (km/s)
# omega = 0.0 rad
0.000000    -0.000000
0.020040    -0.003905
0.040080    -0.007669
0.060120    -0.011171
0.080160    -0.014325
0.100200    -0.017082
0.120240    -0.019430
0.140281    -0.021383
0.160321    -0.022973
0.180361    -0.024242
0.200401    -0.025231
0.220441    -0.025984
0.240481    -0.026539
0.260521    -0.026930
0.280561    -0.027185
0.300601    -0.027329
0.320641    -0.027382
0.340681    -0.027361
0.360721    -0.027281
0.380762    -0.027151
0.400802    -0.026983
0.420842    -0.026783
0.440882    -0.026557
0.460922    -0.026312
0.480962    -0.026051
0.501002    -0.025777
0.521042    -0.025494
0.541082    -0.025203
0.561122    -0.024908
0.581162    -0.024608
0.601202    -0.024307
0.621242    -0.024004
0.641283    -0.023700
0.661323    -0.023397
0.681363    -0.023096
0.701403    -0.022795
0.721443    -0.022496
0.741483    -0.022200
0.761523    -0.021906
0.781563    -0.021615
0.801603    -0.021326
0.821643    -0.021040
0.841683    -0.020758
0.861723    -0.020478
0.881764    -0.020201
0.901804    -0.019928
0.921844    -0.019658
0.941884    -0.019390
0.961924    -0.019126
0.981964    -0.018865
1.002004    -0.018607
1.022044    -0.018352
1.042084    -0.018100
1.062124    -0.017851
1.082164    -0.017605
1.102204    -0.017361
1.122244    -0.017121
1.142285    -0.016883
1.162325    -0.016648
1.182365    -0.016415
1.202405    -0.016185
1.222445    -0.015957
1.242485    -0.015732
1.262525    -0.015509
1.282565    -0.015288
1.302605    -0.015070
1.322645    -0.014854
1.342685    -0.014640
1.362725    -0.014428
1.382766    -0.014218
1.402806    -0.014011
1.422846    -0.013805
1.442886    -0.013601
1.462926    -0.013399
1.482966    -0.013199
1.503006    -0.013000
1.523046    -0.012804
1.543086    -0.012609
1.563126    -0.012415
1.583166    -0.012224
1.603206    -0.012034
1.623246    -0.011845
1.643287    -0.011658
1.663327    -0.011472
1.683367    -0.011288
1.703407    -0.011105
1.723447    -0.010923
1.743487    -0.010743
1.763527    -0.010564
1.783567    -0.010386
1.803607    -0.010210
1.823647    -0.010034
1.843687    -0.009860
1.863727    -0.009687
1.883768    -0.009515
1.903808    -0.009344
1.923848    -0.009174
1.943888    -0.009006
1.963928    -0.008838
1.983968    -0.008671
2.004008    -0.008505
2.024048    -0.008340
2.044088    -0.008176
2.064128    -0.008012
2.084168    -0.007850
2.104208    -0.007688
2.124248    -0.007528
2.144289    -0.007368
2.164329    -0.007208
2.184369    -0.007050
2.204409    -0.006892
2.224449    -0.006735
