# Mean Anomaly (rad)    Radial Velocity (km/s)
# omega = 1.0 rad
0.000000    -0.038711
0.020040    -0.040585
0.040080    -0.041932
0.060120    -0.042742
0.080160    -0.043046
0.100200    -0.042907
0.120240    -0.042403
0.140281    -0.041616
0.160321    -0.040621
0.180361    -0.039483
0.200401    -0.038255
0.220441    -0.036978
0.240481    -0.035684
0.260521    -0.034395
0.280561    -0.033125
0.300601    -0.031887
0.320641    -0.030687
0.340681    -0.029529
0.360721    -0.028415
0.380762    -0.027346
0.400802    -0.026322
0.420842    -0.025341
0.440882    -0.024402
0.460922    -0.023503
0.480962    -0.022644
0.501002    -0.021820
0.521042    -0.021032
0.541082    -0.020277
0.561122    -0.019552
0.581162    -0.018857
0.601202    -0.018190
0.621242    -0.017549
0.641283    -0.016932
0.661323    -0.016339
0.681363    -0.015768
0.701403    -0.015217
0.721443    -0.014686
0.741483    -0.014174
0.761523    -0.013679
0.781563    -0.013200
0.801603    -0.012737
0.821643    -0.012289
0.841683    -0.011856
0.861723    -0.011435
0.881764    -0.011028
0.901804    -0.010632
0.921844    -0.010248
0.941884    -0.009875
0.961924    -0.009513
0.981964    -0.009160
1.002004    -0.008817
1.022044    -0.008483
1.042084    -0.008158
1.062124    -0.007841
1.082164    -0.007532
1.102204    -0.007230
1.122244    -0.006936
1.142285    -0.006649
1.162325    -0.006368
1.182365    -0.006094
1.202405    -0.005827
1.222445    -0.005565
1.242485    -0.005309
1.262525    -0.005058
1.282565    -0.004812
1.302605    -0.004572
1.322645    -0.004337
1.342685    -0.004106
1.362725    -0.003880
1.382766    -0.003658
1.402806    -0.003441
1.422846    -0.003228
1.442886    -0.003019
1.462926    -0.002813
1.482966    -0.002611
1.503006    -0.002413
1.523046    -0.002218
1.543086    -0.002027
1.563126    -0.001839
1.583166    -0.001654
1.603206    -0.001472
1.623246    -0.001294
1.643287    -0.001118
1.663327    -0.000944
1.683367    -0.000774
1.703407    -0.000606
1.723447    -0.000441
1.743487    -0.000278
1.763527    -0.000118
1.783567    0.000040
1.803607    0.000196
1.823647    0.000349
1.843687    0.000500
1.863727    0.000649
1.883768    0.000797
1.903808    0.000942
1.923848    0.001085
1.943888    0.001226
1.963928    0.001365
1.983968    0.001503
2.004008    0.001639
2.024048    0.001773
2.044088    0.001905
2.064128    0.002036
2.084168    0.002165
2.104208    0.002293
2.124248    0.002419
2.144289    0.002543
2.164329    0.002666
2.184369    0.002788
2.204409    0.002908
2.224449    0.003027
2.244489    0.003144
2.264529    0.003261
2.284569    0.003376
2.304609    0.003489
2.324649    0.003602
2.344689    0.003713
2.364729    0.003823
2.384770    0.003932
2.404810    0.004040
2.424850    0.004147
2.444890    0.004252
2.464930    0.004357
2.484970    0.004460
2.505010    0.004563
2.525050    0.004664
2.545090    0.004765
2.565130    0.004864
2.585170    0.004963
2.605210    0.005060
2.625251    0.005157
2.645291    0.005253
2.665331    0.005348
2.685371    0.005442
2.705411    0.005535
2.725451    0.005627
2.745491    0.005719
2.765531    0.005809
2.785571    0.005899
2.805611    0.005988
2.825651    0.006076
2.845691    0.006164
2.865731    0.006251
2.885772    0.006337
2.905812    0.006422
2.925852    0.006507
2.945892    0.006590
2.965932    0.006674
2.985972    0.006756
3.006012    0.006838
3.026052    0.006919
3.046092    0.006999
3.066132    0.007079
3.086172    0.007158
3.106212    0.007237
3.126253    0.007314
3.146293    0.007392
3.166333    0.007468
3.186373    0.007544
3.206413    0.007619
3.226453    0.007694
3.246493    0.007768
3.266533    0.007842
3.286573    0.007915
3.306613    0.007987
3.326653    0.008059
3.346693    0.008130
3.366733    0.008201
3.386774    0.008271
3.406814    0.008340
3.426854    0.008409
3.446894    0.008478
3.466934    0.008546
3.486974    0.008613
3.507014    0.008680
3.527054    0.008746
3.547094    0.008812
3.567134    0.008877
3.587174    0.008941
3.607214    0.009006
3.627255    0.009069
3.647295    0.009132
3.667335    0.009195
3.687375    0.009256
3.707415    0.009318
3.727455    0.009379
3.747495    0.009439
3.767535    0.009499
3.787575    0.009558
3.807615    0.009617
3.827655    0.009675
3.847695    0.009732
3.867735    0.009789
3.887776    0.009846
3.907816    0.009902
3.927856    0.009957
3.947896    0.010012
3.967936    0.010066
3.987976    0.010120
4.008016    0.010173
4.028056    0.010225
4.048096    0.010277
4.068136    0.010328
4.088176    0.010379
4.108216    0.010429
4.128257    0.010479
4.148297    0.010527
4.168337    0.010575
4.188377    0.010623
4.208417    0.010670
4.228457    0.010716
4.248497    0.010761
4.268537    0.010806
4.288577    0.010850
4.308617    0.010893
4.328657    0.010935
4.348697    0.010977
4.368737    0.011018
4.388778    0.011058
4.408818    0.011097
4.428858    0.011135
4.448898    0.011173
4.468938    0.011209
4.488978    0.011245
4.509018    0.011280
4.529058    0.011313
4.549098    0.011346
4.569138    0.011377
4.589178    0.011408
4.609218    0.011437
4.629259    0.011465
4.649299    0.011492
4.669339    0.011518
4.689379    0.011542
4.709419    0.011565
4.729459    0.011587
4.749499    0.011607
4.769539    0.011626
4.789579    0.011643
4.809619    0.011659
4.829659    0.011672
4.849699    0.011684
4.869739    0.011694
4.889780    0.011703
4.909820    0.011709
4.929860    0.011713
4.949900    0.011714
4.969940    0.011714
4.989980    0.011711
5.010020    0.011705
5.030060    0.011697
5.050100    0.011686
5.070140    0.011671
5.090180    0.011654
5.110220    0.011633
5.130261    0.011609
5.150301    0.011581
5.170341    0.011549
5.190381    0.011513
5.210421    0.011473
5.230461    0.011427
5.250501    0.011377
5.270541    0.011322
5.290581    0.011261
5.310621    0.011193
5.330661    0.011120
5.350701    0.011039
5.370741    0.010952
5.390782    0.010856
5.410822    0.010752
5.430862    0.010639
5.450902    0.010516
5.470942    0.010383
5.490982    0.010238
5.511022    0.010082
5.531062    0.009912
5.551102    0.009728
5.571142    0.009528
5.591182    0.009312
5.611222    0.009077
5.631263    0.008822
5.651303    0.008546
5.671343    0.008246
5.691383    0.007919
5.711423    0.007564
5.731463    0.007177
5.751503    0.006756
5.771543    0.006296
5.791583    0.005793
5.811623    0.005243
5.831663    0.004640
5.851703    0.003978
5.871743    0.003251
5.891784    0.002451
5.911824    0.001569
5.931864    0.000595
5.951904    -0.000481
5.971944    -0.001672
5.991984    -0.002992
6.012024    -0.004454
6.032064    -0.006075
6.052104    -0.007870
6.072144    -0.009855
6.092184    -0.012041
6.112224    -0.014437
6.132265    -0.017044
6.152305    -0.019847
6.172345    -0.022819
6.192385    -0.025906
6.212425    -0.029031
6.232465    -0.032089
6.252505    -0.034960
6.272545    -0.037519
6.292585    -0.039653
6.312625    -0.041284
6.332665    -0.042378
6.352705    -0.042944
6.372745    -0.043032
6.392786    -0.042711
6.412826    -0.042064
6.432866    -0.041171
6.452906    -0.040101
6.472946    -0.038915
6.492986    -0.037660
6.513026    -0.036372
6.533066    -0.035078
6.553106    -0.033796
6.573146    -0.032540
6.593186    -0.031319
6.613226    -0.030139
6.633267    -0.029001
6.653307    -0.027908
6.673347    -0.026860
6.693387    -0.025856
6.713427    -0.024895
6.733467    -0.023976
6.753507    -0.023095
6.773547    -0.022253
6.793587    -0.021446
6.813627    -0.020674
6.833667    -0.019933
6.853707    -0.019223
6.873747    -0.018541
6.893788    -0.017886
6.913828    -0.017257
6.933868    -0.016651
6.953908    -0.016068
